[00:55:35] [main/INFO]: ModLauncher running: args [--launchTarget, forgeserver, --fml.forgeVersion, 39.0.5, --fml.mcVersion, 1.18.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20211210.034407, nogui]
[00:55:40] [main/INFO]: Found mod file JustEnoughResources-1.18.1-0.13.1.137.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file Kiwi-1.18-forge-5.1.1.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file lazydfu-1.0-1.18+.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file LegendaryTooltips-1.18.1-1.1.5.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file LibX-1.18.1-3.1.1.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file LightingWand-1.18-forge-3.0.0.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file logprot-1.18-1.4.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file lootr-1.18-0.0.11.33.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file mahoutsukai-1.18.1-v1.33.6.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file mcw-bridges-2.0.1-mc1.18.1.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file mcw-doors-1.0.5-mc1.18.1.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file mcw-fences-1.0.2-mc1.18.1.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file mcw-lights-1.0.2-mc1.18.1.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file mcw-paintings-1.0.2-mc1.18.1.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file mcw-trapdoors-1.0.4-mc1.18.1.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file mcw-windows-2.0.2-mc1.18.1.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file minecolonies-1.18.1-1.0.278-RELEASE.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file mininggadgets-1.10.2.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file modular-routers-1.18-9.0.0-76.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file moredragoneggs-3.1.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
